,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-08-19,10000.0,10000.0,10000.0,10000.0,9900000000000,990000000,1356,10000.0,10000.0
1,2023-09-25,10215.0,10217.0,10210.0,10212.0,252170878016,24693055,176,10000.0,10211.0
2,2023-09-26,10222.0,10226.0,10100.0,10220.0,260781911959,25516076,267,10212.0,10223.0
3,2023-09-27,10225.0,10225.0,10221.0,10222.0,102569151270,10033716,105,10220.0,10223.0
4,2023-09-30,11000.0,11000.0,10110.0,10232.0,206711553168,20202622,138,10222.0,10229.0
5,2023-10-01,10258.0,10259.0,10250.0,10254.0,91299690647,8903739,142,10232.0,10250.0
6,2023-10-02,10265.0,10268.0,10264.0,10264.0,945325562522,92098347,256,10254.0,10265.0
7,2023-10-04,10280.0,10281.0,10280.0,10280.0,3370903645,327902,62,10264.0,10281.0
8,2023-10-07,10303.0,10303.0,10302.0,10302.0,195482970716,18974488,125,10280.0,10303.0
9,2023-10-08,10309.0,10310.0,10309.0,10310.0,3532411562,342631,71,10302.0,10310.0
10,2023-10-09,10316.0,10317.0,10316.0,10316.0,79877980594,7743093,67,10310.0,10317.0
11,2023-10-10,10325.0,10326.0,10324.0,10325.0,235472619864,22806301,169,10316.0,10325.0
12,2023-10-11,10332.0,10334.0,10332.0,10333.0,1245707148517,120556549,273,10325.0,10334.0
13,2023-10-14,11275.0,11275.0,10350.0,10352.0,342284223130,33064388,148,10333.0,10354.0
14,2023-10-15,10359.0,10360.0,10357.0,10360.0,522084836125,50395598,129,10352.0,10360.0
15,2023-10-16,10367.0,10367.0,10366.0,10366.0,588995271693,56819912,146,10360.0,10366.0
16,2023-10-17,10374.0,10376.0,10373.0,10374.0,857022777153,82610440,174,10366.0,10373.0
17,2023-10-18,10384.0,10388.0,10382.0,10385.0,940175980062,90531945,172,10374.0,10384.0
18,2023-10-21,10405.0,10407.0,10404.0,10405.0,745063978473,71604312,182,10385.0,10407.0
19,2023-10-22,10412.0,10414.0,10412.0,10414.0,482570693937,46338715,142,10405.0,10414.0
20,2023-10-23,10420.0,10422.0,10420.0,10421.0,70152458547,6732128,878,10414.0,10422.0
21,2023-10-24,10428.0,10429.0,10427.0,10427.0,1223476539784,117332245,216,10421.0,10428.0
22,2023-10-25,10436.0,10437.0,10435.0,10436.0,1719771681435,164785260,312,10427.0,10436.0
23,2023-10-28,10456.0,10456.0,10449.0,10452.0,540025597628,51668683,181,10436.0,10450.0
24,2023-10-29,10460.0,10462.0,10460.0,10461.0,62949013566,6017536,87,10452.0,10462.0
25,2023-10-30,10468.0,10469.0,10467.0,10467.0,48610350951,4644009,107,10461.0,10467.0
26,2023-10-31,10473.0,10475.0,10473.0,10473.0,273468470381,26111451,133,10467.0,10475.0
27,2023-11-01,10485.0,10485.0,10483.0,10484.0,109863278082,10479185,62,10473.0,10485.0
28,2023-11-04,10502.0,10503.0,10501.0,10502.0,392678250534,37391084,157,10484.0,10502.0
29,2023-11-05,10508.0,10508.0,10507.0,10507.0,31624474984,3009822,65,10502.0,10508.0
30,2023-11-06,10514.0,10516.0,10514.0,10515.0,61333719687,5832879,50,10507.0,10516.0
31,2023-11-07,10520.0,10522.0,10520.0,10520.0,25245717040,2399674,138,10515.0,10520.0
32,2023-11-08,10528.0,10529.0,10528.0,10529.0,729149980103,69251637,159,10520.0,10529.0
33,2023-11-11,10550.0,10552.0,10550.0,10550.0,554537308029,52562473,225,10529.0,10552.0
34,2023-11-12,10559.0,10561.0,10559.0,10559.0,436888787790,41375314,132,10550.0,10561.0
35,2023-11-13,10567.0,10569.0,10567.0,10568.0,32664009671,3090961,95,10559.0,10569.0
